Audience segment list report
All time
Segment name,Description,Upload status,Warning,Customer Type,Segment Type,Membership status,Size: Search,Size: YouTube,Size: Display,Size: Gmail campaign
Azerbaijan Keyword display - GA4,"Keyword: contains ""Azerbaijan""", --, --,,Website visitors,Open,0,0,0,0
Zalanka Goal - 2 pages per session,, --, --,,Website visitors,Open,120,120,48,40
zalanka - handheld inkjet,"Page: contains ""/sri-lanka/Industrial-Printers/handheld-inkjet-printer-sri-lanka""", --, --,,Website visitors,Open,0,0,0,0
Zalanka - Fire Extinguishers,"Page: ""/sri-lanka/Fire-Protection/Fire-extinguishers""", --, --,,Website visitors,Open,0,0,0,0
Datecodingmachinesrilanka.com - Organic entrances,Datecodingmachinesrilanka.com - Organic entrances, --, --,,Website visitors,Open,0,0,0,0
people who visited the website for property,, --, --,,Website visitors,Open,0,0,0,0
Zalanka Conveyor,"Page: contains ""/sri-lanka/conveyor-belts""", --, --,,Website visitors,Open,0,0,0,0
Machinerylanka.com - Conveyor Belt Page,, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Google-engaged audiences - for Account 7970047607,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Open,"3,400","3,400",Incompatible,"2,900"
Purchasers of Pusthakala.com,Users who have purchased in the last 540 days, --, --,Purchasers,Website visitors,Open,0,0,0,0
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Open,1K-10K,1K-10K,1K-10K,1K-10K
purajal - study in Azerbaijan,, --, --,,Website visitors,Open,0,0,0,0
Zalanka Conveyor - GA4,"Page: contains ""/sri-lanka/conveyor-belts""", --, --,,Website visitors,Open,600,600,280,250
Zalanka - industrail Printer,"Page: contains ""/sri-lanka/Industrial-Printers""", --, --,,Website visitors,Open,0,0,0,0
All Users of www.zalanka.com - GA4,All users, --, --,,Website visitors,Open,"2,600","2,600","1,400","1,500"
time based on page,, --, --,,Website visitors,Open,32,32,16,32
study in Azerbaijan purajal 1,"Page: contains ""/study-abroad/Azerbaijan-for-srilankans""", --, --,,Website visitors,Open,0,0,0,0
Vahakaya - visitors,, --, --,,Website visitors,Open,"3,200","3,200","2,800","1,100"
Purchasers of vahakaya.com,Users who have purchased in the last 540 days, --, --,Purchasers,Website visitors,Open,0,0,0,0
Visited - purajal - study abroad (general),"Page: contains ""/study-abroad/consultation"" Page: contains ""/study-abroad""", --, --,,Website visitors,Open,0,0,0,0
Manual coding Machine viitors,, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Ads),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,"1,200","1,200","2,000",410
shop-Mt lavinia,, --, --,,Website visitors,Open,0,0,0,0
Zalanka - Fire Extinguishers - GA4,"Page: ""/sri-lanka/Fire-Protection/Fire-extinguishers""", --, --,,Website visitors,Open,8,8,24,16
InSL Date printing machine - mobile visitors,"Page: contains ""/date-printing-machine/"" Device Category: contains ""mobile""", --, --,,Website visitors,Open,0,0,0,0
Land for sale wahugupitiya - GA4,"Page: contains ""/sri-lanka/land-for-sale""", --, --,,Website visitors,Open,0,0,0,0
Land for sale wahugupitiya,"Page: contains ""/sri-lanka/land-for-sale""", --, --,,Website visitors,Open,0,0,0,0
Machinerylanka.com all users,, --, --,,Website visitors,Open,0,0,0,0
purajal - study in ukraine,"Page: contains ""/study-abroad/Ukraine""", --, --,,Website visitors,Open,0,0,0,0
purajal website all visitors,All Users, --, --,,Website visitors,Open,0,0,0,0
People visited nugegoda land,, --, --,,Website visitors,Open,0,0,0,0
People who visited Azerbaijan study,, --, --,,Website visitors,Closed,0,0,0,0
Industrial Printers,, --, --,,Website visitors,Open,32,32,16,0
Untitled audience,, --, --,,Website visitors,Open,0,0,0,0
Machinerylanka.com - Handheld Inkjet Printer,, --, --,,Website visitors,Open,0,0,0,0
Datecodingmachine.com - Google entrants,, --, --,,Website visitors,Open,0,0,0,0
